time,anime_id,watchDuration
2022-12-09 11:01:24.199825,11123.0,13.0
2022-12-09 11:08:24.200823,4224.0,14.0
2022-12-09 11:03:24.207781,14227.0,25.0
2022-12-09 11:06:24.208782,4224.0,18.0
2022-12-09 11:00:24.208782,1557.0,27.0
2022-12-09 11:07:24.208782,4224.0,60.0
2022-12-09 11:08:24.208782,3731.0,29.0
2022-12-09 11:08:24.225533,4722.0,41.0
2022-12-09 11:02:24.225533,10030.0,3.0
2022-12-09 11:07:24.241091,9863.0,32.0
2022-12-09 11:00:24.242078,5835.0,13.0
2022-12-09 10:59:24.242078,14397.0,59.0
2022-12-09 11:08:24.258762,5835.0,19.0
2022-12-09 11:07:24.258762,10800.0,34.0
2022-12-09 10:58:24.275440,21.0,37.0
2022-12-09 11:02:24.275440,3731.0,40.0
2022-12-09 11:02:24.290107,1974.0,41.0
2022-12-09 11:01:24.292137,9513.0,41.0
2022-12-09 11:01:24.292137,966.0,45.0
2022-12-09 11:02:24.292137,1974.0,28.0
2022-12-09 11:04:24.308734,21.0,29.0
2022-12-09 11:01:24.308734,1974.0,15.0
2022-12-09 11:03:24.308734,120.0,60.0
2022-12-09 11:03:24.308734,7674.0,51.0
2022-12-09 11:06:24.325343,6645.0,17.0
2022-12-09 11:02:24.325343,5690.0,50.0
2022-12-09 11:06:24.325343,7674.0,39.0
2022-12-09 11:08:24.325343,233.0,34.0
2022-12-09 11:01:24.341978,6645.0,44.0
2022-12-09 11:08:24.341978,9926.0,38.0
2022-12-09 11:08:24.341978,232.0,44.0
2022-12-09 11:05:24.341978,232.0,14.0
2022-12-09 10:58:24.357704,9926.0,46.0
2022-12-09 11:04:24.358671,3092.0,24.0
2022-12-09 11:02:24.358671,3092.0,58.0
2022-12-09 11:02:24.358671,33185.0,51.0
2022-12-09 11:01:24.358671,232.0,46.0
2022-12-09 11:06:24.375330,9926.0,52.0
2022-12-09 10:58:24.375330,33185.0,7.0
2022-12-09 11:00:24.375330,16642.0,4.0
2022-12-09 11:00:24.375330,32370.0,52.0
2022-12-09 11:01:24.391173,33185.0,10.0
2022-12-09 11:05:24.391173,16642.0,53.0
2022-12-09 11:08:24.391173,34152.0,37.0
2022-12-09 11:04:24.391173,153.0,27.0
2022-12-09 10:58:24.406813,5588.0,32.0
2022-12-09 10:59:24.407847,7605.0,40.0
2022-12-09 11:07:24.407847,7605.0,16.0
2022-12-09 11:06:24.407847,23903.0,42.0
2022-12-09 11:00:24.407847,33398.0,22.0
2022-12-09 11:04:24.424514,12447.0,17.0
2022-12-09 10:59:24.424514,1051.0,39.0
2022-12-09 11:07:24.424514,23903.0,15.0
2022-12-09 11:04:24.424514,1381.0,7.0
2022-12-09 10:59:24.441176,12447.0,16.0
2022-12-09 10:58:24.441176,20667.0,38.0
2022-12-09 11:01:24.441176,33775.0,32.0
2022-12-09 11:08:24.441176,32666.0,13.0
2022-12-09 11:04:24.456805,32666.0,44.0
2022-12-09 11:06:24.457839,3294.0,16.0
2022-12-09 11:01:24.457839,20667.0,58.0
2022-12-09 11:07:24.457839,33775.0,39.0
2022-12-09 11:07:24.457839,14353.0,38.0
2022-12-09 11:08:24.475512,35277.0,17.0
2022-12-09 11:06:24.475512,14353.0,15.0
2022-12-09 11:01:24.475512,32747.0,47.0
2022-12-09 10:59:24.475512,8154.0,30.0
2022-12-09 11:05:24.490134,6777.0,35.0
2022-12-09 11:06:24.491167,32747.0,46.0
2022-12-09 10:59:24.491167,5235.0,56.0
2022-12-09 11:02:24.491167,5117.0,16.0
2022-12-09 11:00:24.491167,6777.0,12.0
2022-12-09 11:06:24.508837,5117.0,35.0
2022-12-09 11:05:24.508837,36847.0,53.0
2022-12-09 11:01:24.508837,35594.0,41.0
2022-12-09 11:08:24.523579,36847.0,50.0
2022-12-09 10:59:24.524613,29765.0,28.0
2022-12-09 10:59:24.524613,5036.0,34.0
2022-12-09 11:00:24.524613,29363.0,40.0
2022-12-09 11:03:24.524613,9721.0,35.0
2022-12-09 11:00:24.541093,747.0,49.0
2022-12-09 11:06:24.541093,9721.0,5.0
2022-12-09 11:03:24.541093,9690.0,51.0
2022-12-09 11:08:24.541093,812.0,11.0
2022-12-09 10:58:24.557725,33155.0,20.0
2022-12-09 11:03:24.558725,19849.0,17.0
2022-12-09 11:04:24.558725,747.0,20.0
2022-12-09 11:06:24.558725,8726.0,40.0
2022-12-09 11:00:24.558725,11009.0,57.0
2022-12-09 11:01:24.574476,11009.0,20.0
2022-12-09 11:06:24.574476,8726.0,49.0
2022-12-09 10:59:24.574476,10869.0,5.0
2022-12-09 11:05:24.574476,20229.0,26.0
2022-12-09 11:04:24.591147,1586.0,7.0
2022-12-09 11:07:24.591147,3981.0,16.0
2022-12-09 11:01:24.591147,33462.0,27.0
2022-12-09 10:59:24.591147,36951.0,33.0
2022-12-09 11:06:24.606766,15813.0,53.0
2022-12-09 11:03:24.610177,6828.0,9.0
2022-12-09 11:04:24.610177,18637.0,4.0
